,open,high,low,close,volume
2021-04-26 15:07:00,37850.0,37880.0,37850.0,37860.0,4856.04465482
2021-04-26 15:08:00,37860.0,37900.0,37850.0,37880.0,8141.77221269
2021-04-26 15:09:00,37870.0,37970.0,37870.0,37960.0,12290.62532673
2021-04-26 15:10:00,37930.0,37970.0,37900.0,37910.0,5045.76194843
2021-04-26 15:11:00,37930.0,37970.0,37880.0,37970.0,13175.41793258
2021-04-26 15:12:00,37970.0,37990.0,37950.0,37980.0,9608.63887156
2021-04-26 15:13:00,37990.0,38100.0,37980.0,38100.0,29002.17176538
2021-04-26 15:14:00,38080.0,38150.0,38080.0,38100.0,16075.62553869
2021-04-26 15:15:00,38090.0,38150.0,38040.0,38040.0,17606.31729786
2021-04-26 15:16:00,38050.0,38050.0,37840.0,37840.0,14648.48104046
2021-04-26 15:17:00,37850.0,38000.0,37840.0,37980.0,15772.1524415
2021-04-26 15:18:00,37980.0,38060.0,37950.0,38030.0,13882.11471722
2021-04-26 15:19:00,38030.0,38060.0,37900.0,38000.0,17111.37323206
2021-04-26 15:20:00,37990.0,38060.0,37990.0,38060.0,6264.35696143
2021-04-26 15:21:00,38050.0,38070.0,38040.0,38050.0,10988.76888795
2021-04-26 15:22:00,38050.0,38060.0,38000.0,38030.0,11169.35591264
2021-04-26 15:23:00,38040.0,38040.0,38000.0,38010.0,6353.02953509
2021-04-26 15:24:00,38000.0,38010.0,37910.0,37990.0,10110.42947242
2021-04-26 15:25:00,37990.0,38000.0,37950.0,37950.0,9494.76371681
2021-04-26 15:26:00,37950.0,38020.0,37910.0,38020.0,11456.85795805
2021-04-26 15:27:00,38010.0,38050.0,38000.0,38000.0,12211.33272877
2021-04-26 15:28:00,38010.0,38010.0,37970.0,37970.0,4227.61830364
2021-04-26 15:29:00,37980.0,37990.0,37960.0,37970.0,3436.31627277
2021-04-26 15:30:00,37960.0,38010.0,37950.0,38010.0,8830.95660354
2021-04-26 15:31:00,38010.0,38050.0,38010.0,38030.0,9781.12849313
2021-04-26 15:32:00,38030.0,38050.0,38010.0,38020.0,5242.40082789
2021-04-26 15:33:00,38020.0,38030.0,38010.0,38010.0,4647.44160206
2021-04-26 15:34:00,38020.0,38020.0,38000.0,38010.0,4407.78828996
2021-04-26 15:35:00,38010.0,38010.0,37990.0,38000.0,5975.47495882
2021-04-26 15:36:00,38010.0,38030.0,38000.0,38030.0,10480.99622737
2021-04-26 15:37:00,38030.0,38040.0,38010.0,38030.0,5685.22564183
2021-04-26 15:38:00,38040.0,38080.0,38020.0,38070.0,6993.10039924
2021-04-26 15:39:00,38070.0,38120.0,38060.0,38120.0,6346.71201807
2021-04-26 15:40:00,38110.0,38180.0,38110.0,38180.0,7896.88117912
2021-04-26 15:41:00,38170.0,38190.0,38170.0,38190.0,12140.63118688
2021-04-26 15:42:00,38190.0,38250.0,38180.0,38250.0,12496.69262595
2021-04-26 15:43:00,38250.0,38330.0,38250.0,38320.0,10973.53965494
2021-04-26 15:44:00,38320.0,38440.0,38310.0,38430.0,14228.41149473
2021-04-26 15:45:00,38430.0,38480.0,38400.0,38400.0,32293.27727245
2021-04-26 15:46:00,38400.0,38420.0,38300.0,38370.0,10374.42267474
2021-04-26 15:47:00,38370.0,38380.0,38250.0,38270.0,11170.2002831
2021-04-26 15:48:00,38260.0,38310.0,38180.0,38260.0,13749.33963542
2021-04-26 15:49:00,38270.0,38400.0,38270.0,38380.0,9277.89902196
2021-04-26 15:50:00,38390.0,38400.0,38340.0,38340.0,10889.7196122
2021-04-26 15:51:00,38340.0,38360.0,38280.0,38280.0,7701.07080125
2021-04-26 15:52:00,38280.0,38330.0,38230.0,38310.0,8215.79052354
2021-04-26 15:53:00,38300.0,38310.0,38250.0,38310.0,6997.57654299
2021-04-26 15:54:00,38320.0,38350.0,38260.0,38300.0,9276.37394053
2021-04-26 15:55:00,38300.0,38380.0,38280.0,38360.0,9253.96032042
2021-04-26 15:56:00,38350.0,38390.0,38270.0,38380.0,7073.30445318
2021-04-26 15:57:00,38370.0,38390.0,38330.0,38370.0,6077.74463327
2021-04-26 15:58:00,38370.0,38380.0,38210.0,38290.0,11568.24749683
2021-04-26 15:59:00,38240.0,38300.0,38240.0,38300.0,5905.74610493
2021-04-26 16:00:00,38300.0,38300.0,38250.0,38270.0,7132.66671764
2021-04-26 16:01:00,38260.0,38270.0,38000.0,38010.0,17210.99776421
2021-04-26 16:02:00,38010.0,38130.0,37900.0,37940.0,18416.40668006
2021-04-26 16:03:00,37940.0,37940.0,37550.0,37600.0,19325.91102735
2021-04-26 16:04:00,37600.0,37820.0,37550.0,37770.0,18575.43541779
2021-04-26 16:05:00,37770.0,37960.0,37760.0,37900.0,10962.92036667
2021-04-26 16:06:00,37880.0,37900.0,37740.0,37760.0,15260.12551489
2021-04-26 16:07:00,37750.0,37770.0,37700.0,37710.0,16472.01224028
2021-04-26 16:08:00,37710.0,37970.0,37710.0,37920.0,14927.85649783
2021-04-26 16:09:00,37930.0,37960.0,37770.0,37790.0,8517.19218231
2021-04-26 16:10:00,37830.0,37880.0,37810.0,37860.0,3443.53994187
2021-04-26 16:11:00,37860.0,37880.0,37730.0,37800.0,9839.77854944
2021-04-26 16:12:00,37800.0,37870.0,37700.0,37750.0,6754.52192088
2021-04-26 16:13:00,37790.0,37790.0,37740.0,37790.0,7902.94458966
2021-04-26 16:14:00,37790.0,37880.0,37780.0,37820.0,6651.31326767
2021-04-26 16:15:00,37810.0,37830.0,37800.0,37800.0,5768.02553198
2021-04-26 16:16:00,37810.0,37810.0,37750.0,37750.0,11862.3695346
2021-04-26 16:17:00,37740.0,37750.0,37680.0,37690.0,10799.44647515
2021-04-26 16:18:00,37690.0,37700.0,37610.0,37630.0,8297.9393779
2021-04-26 16:19:00,37630.0,37640.0,37530.0,37590.0,17497.8698015
2021-04-26 16:20:00,37610.0,37750.0,37560.0,37750.0,9217.12661637
2021-04-26 16:21:00,37750.0,37770.0,37710.0,37710.0,5074.65355027
2021-04-26 16:22:00,37710.0,37720.0,37610.0,37630.0,6261.20409188
2021-04-26 16:23:00,37620.0,37700.0,37610.0,37660.0,6161.28637891
2021-04-26 16:24:00,37690.0,37700.0,37660.0,37700.0,2738.09953091
2021-04-26 16:25:00,37690.0,37700.0,37660.0,37690.0,2649.20206573
2021-04-26 16:26:00,37690.0,37720.0,37680.0,37700.0,4995.95333769
2021-04-26 16:27:00,37700.0,37780.0,37690.0,37770.0,5556.59777694
2021-04-26 16:28:00,37780.0,37830.0,37770.0,37810.0,4101.11435176
2021-04-26 16:29:00,37810.0,37920.0,37810.0,37900.0,6419.79036778
2021-04-26 16:30:00,37910.0,37990.0,37900.0,37920.0,5654.31817502
2021-04-26 16:31:00,37910.0,37930.0,37790.0,37830.0,4882.07422392
2021-04-26 16:32:00,37800.0,37930.0,37790.0,37900.0,4313.1929057
2021-04-26 16:33:00,37900.0,37900.0,37820.0,37850.0,2252.71363744
2021-04-26 16:34:00,37840.0,37900.0,37840.0,37870.0,2362.75890584
2021-04-26 16:35:00,37870.0,37900.0,37870.0,37900.0,3962.3964786
2021-04-26 16:36:00,37910.0,37960.0,37890.0,37940.0,6060.27145967
2021-04-26 16:37:00,37930.0,37950.0,37910.0,37920.0,5998.78926439
2021-04-26 16:38:00,37910.0,37930.0,37900.0,37900.0,3183.19013653
2021-04-26 16:39:00,37900.0,37940.0,37900.0,37920.0,3075.40904273
2021-04-26 16:40:00,37930.0,37960.0,37920.0,37930.0,4078.37281535
2021-04-26 16:41:00,37930.0,37960.0,37930.0,37940.0,5088.04276293
2021-04-26 16:42:00,37960.0,38000.0,37940.0,38000.0,4327.24877307
2021-04-26 16:43:00,37990.0,38000.0,37960.0,38000.0,6199.50041793
2021-04-26 16:44:00,38000.0,38050.0,37980.0,38050.0,6668.87980832
2021-04-26 16:45:00,38050.0,38060.0,38010.0,38040.0,4742.19103871
2021-04-26 16:46:00,38040.0,38050.0,38010.0,38030.0,4024.8078407
2021-04-26 16:47:00,38030.0,38030.0,38000.0,38010.0,4659.66455231
2021-04-26 16:48:00,38010.0,38030.0,38000.0,38010.0,3789.54285104
2021-04-26 16:49:00,38010.0,38030.0,37920.0,37930.0,7196.86104885
